created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2022-04-01 00:57:01 UTC,10326,0,0,,0,0,0,0,268
2022-04-01 01:57:01 UTC,10327,0,0,,0,0,0,0,268
2022-04-01 02:57:01 UTC,10328,0,0,,3.9,0,0,0,268
2022-04-01 03:57:01 UTC,10329,0,0,,0,0,0,0,268
2022-04-01 04:57:01 UTC,10330,7,7,,0,0,0,0,268
2022-04-01 05:57:01 UTC,10331,13,20,,0,0,0,0,268
2022-04-01 06:57:01 UTC,10332,20,40,,4,0,0,0,268
2022-04-01 07:57:01 UTC,10333,26,68,,0,0,0,0,268
2022-04-01 08:57:01 UTC,10334,18,86,,0,0,0,0,268
2022-04-01 09:57:01 UTC,10335,15,101,,0,0,0,0,268
2022-04-01 10:57:01 UTC,10336,25,126,,4,0,0,0,268
2022-04-01 11:57:01 UTC,10337,21,149,,0,0,0,0,268
2022-04-01 12:57:01 UTC,10338,26,175,,0,0,0,0,268
2022-04-01 13:57:01 UTC,10339,30,205,,0,0,0,0,268
2022-04-01 14:57:01 UTC,10340,33,238,,4,0,0,0,268
2022-04-01 15:57:01 UTC,10341,37,275,,0,0,0,0,268
2022-04-01 16:57:01 UTC,10342,38,313,,0,0,0,0,268
2022-04-01 17:57:01 UTC,10343,26,339,,0,0,0,0,268
2022-04-01 18:57:01 UTC,10344,3,342,,3.9,0,0,0,268
2022-04-01 19:57:01 UTC,10345,1,343,,0,0,0,0,268
2022-04-01 20:57:01 UTC,10346,0,343,,3.9,0,0,0,268
2022-04-01 21:57:01 UTC,10347,,,343,,,,,
