created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2022-02-01 00:57:01 UTC,9811,1,6,,0,0,0,0,1151
2022-02-01 01:57:01 UTC,9812,0,6,,0,0,0,0,1151
2022-02-01 02:57:01 UTC,9813,2,8,,0,0,0,0,1151
2022-02-01 03:57:01 UTC,9814,1,9,,4,0,0,0,1151
2022-02-01 04:57:01 UTC,9815,11,20,,0,0,0,0,1151
2022-02-01 05:57:01 UTC,9816,20,40,,0,0,0,0,1151
2022-02-01 06:57:01 UTC,9817,93,133,,0,0,0,0,1151
2022-02-01 07:57:01 UTC,9818,172,305,,4,0,0,0,1151
2022-02-01 08:57:01 UTC,9819,136,477,,0,0,0,0,1151
2022-02-01 09:57:01 UTC,9820,78,555,,0,0,0,0,1151
2022-02-01 10:57:01 UTC,9821,105,660,,0,0,0,0,1151
2022-02-01 11:57:01 UTC,9822,116,776,,4,0,0,0,1151
2022-02-01 12:57:01 UTC,9823,127,922,,0,0,0,0,1151
2022-02-01 13:57:01 UTC,9824,130,1052,,0,0,0,0,1151
2022-02-01 14:57:01 UTC,9825,109,1161,,0,0,0,0,1151
2022-02-01 15:57:01 UTC,9826,121,1282,,4,0,0,0,1151
2022-02-01 16:57:01 UTC,9827,164,1461,,0,0,0,0,1151
2022-02-01 17:57:01 UTC,9828,172,1633,,0,0,0,0,1151
2022-02-01 18:57:01 UTC,9829,132,1765,,0,0,0,0,1151
2022-02-01 19:57:01 UTC,9830,92,1857,,4,0,0,0,1151
2022-02-01 20:57:01 UTC,9831,58,1923,,0,0,0,0,1151
2022-02-01 21:57:01 UTC,9832,25,1948,,4,0,0,0,1151
2022-02-01 22:57:01 UTC,9833,,,1948,,,,,
2022-02-01 23:57:01 UTC,9834,8,8,,0,0,0,0,1971
2022-02-02 00:57:01 UTC,9835,5,13,,0,0,0,0,1971
2022-02-02 01:57:01 UTC,9836,4,17,,0,0,0,0,1971
2022-02-02 02:57:01 UTC,9837,10,27,,0,0,0,0,1971
2022-02-02 03:57:01 UTC,9838,2,29,,3.9,0,0,0,1971
2022-02-02 04:57:01 UTC,9839,7,36,,0,0,0,0,1971
2022-02-02 05:57:01 UTC,9840,28,64,,0,0,0,0,1971
2022-02-02 06:57:01 UTC,9841,70,134,,0,0,0,0,1971
2022-02-02 07:57:01 UTC,9842,161,295,,4,0,0,0,1971
2022-02-02 08:57:01 UTC,9843,123,470,,0,0,0,0,1971
2022-02-02 09:57:01 UTC,9844,99,569,,0,0,0,0,1971
2022-02-02 10:57:01 UTC,9845,132,701,,0,0,0,0,1971
2022-02-02 11:57:01 UTC,9846,97,798,,4,0,0,0,1971
2022-02-02 12:57:01 UTC,9847,173,999,,0,0,0,0,1971
2022-02-02 13:57:01 UTC,9848,129,1128,,0,0,0,0,1971
2022-02-02 14:57:01 UTC,9849,139,1267,,0,0,0,0,1971
2022-02-02 15:57:01 UTC,9850,140,1407,,4,0,0,0,1971
2022-02-02 16:57:01 UTC,9851,165,1589,,0,0,0,0,1971
2022-02-02 17:57:01 UTC,9852,197,1786,,0,0,0,0,1971
2022-02-02 18:57:01 UTC,9853,151,1937,,0,0,0,0,1971
2022-02-02 19:57:01 UTC,9854,111,2048,,4,0,0,0,1971
2022-02-02 20:57:01 UTC,9855,39,2097,,0,0,0,0,1971
2022-02-02 21:57:01 UTC,9856,30,2127,,4,0,0,0,1971
2022-02-02 22:57:01 UTC,9857,,,2127,,,,,
